PLAYER,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SEASON,VALUE
Bogdan Bogdanović,SG,28,ATL,44,27,29.7,6.1,12.8,0.473,3.3,7.6,0.438,2.8,5.3,0.522,0.602,0.9,1.0,0.909,0.5,3.2,3.6,3.3,1.1,0.3,1.2,2.3,16.4,2020-21,6.143322142673974
Clint Capela,C,26,ATL,63,63,30.1,6.6,11.0,0.594,0.0,0.0,0.0,6.6,11.0,0.594,0.594,2.1,3.6,0.573,4.7,9.6,14.3,0.8,0.7,2.0,1.2,2.3,15.2,2020-21,2.3274713622546646
John Collins,PF,23,ATL,63,63,29.3,6.8,12.2,0.556,1.3,3.3,0.399,5.5,8.9,0.615,0.61,2.7,3.2,0.833,1.9,5.5,7.4,1.2,0.5,1.0,1.3,3.1,17.6,2020-21,2.6319055544307557
Kris Dunn,PG,26,ATL,4,0,11.3,0.3,3.0,0.083,0.0,0.5,0.0,0.3,2.5,0.1,0.083,0.8,1.0,0.75,0.0,1.5,1.5,0.5,0.5,0.5,0.8,2.5,1.3,2020-21,-2.7503997311822888
Bruno Fernando,C,22,ATL,33,0,6.8,0.5,1.3,0.409,0.0,0.1,0.0,0.5,1.3,0.429,0.409,0.5,0.7,0.682,0.5,1.9,2.4,0.3,0.1,0.1,0.6,0.7,1.5,2020-21,-4.948838114166067
Danilo Gallinari,PF,32,ATL,51,4,24.0,4.0,9.3,0.434,2.0,5.0,0.406,2.0,4.3,0.466,0.542,3.2,3.4,0.925,0.3,3.8,4.1,1.5,0.6,0.2,0.8,2.1,13.3,2020-21,2.296485893991618
Brandon Goodwin,PG,25,ATL,47,5,13.2,1.8,4.7,0.377,0.7,2.2,0.311,1.1,2.6,0.433,0.448,0.6,0.9,0.651,0.2,1.3,1.5,2.0,0.4,0.0,0.8,0.9,4.9,2020-21,-2.6141489611792714
Solomon Hill,PF,29,ATL,71,16,21.3,1.5,4.2,0.359,1.0,3.0,0.321,0.5,1.2,0.453,0.473,0.5,0.6,0.761,0.6,2.4,3.0,1.1,0.7,0.2,0.6,1.6,4.5,2020-21,-0.7430375574316905
Kevin Huerter,SG,22,ATL,69,49,30.8,4.6,10.6,0.432,2.0,5.6,0.363,2.6,5.0,0.51,0.528,0.7,0.9,0.781,0.6,2.8,3.3,3.5,1.2,0.3,1.1,2.4,11.9,2020-21,3.823508179360068
De'Andre Hunter,SF,23,ATL,23,19,29.5,5.2,10.8,0.484,1.3,4.1,0.326,3.9,6.7,0.582,0.546,3.2,3.7,0.859,0.7,4.0,4.8,1.9,0.8,0.5,1.3,2.6,15.0,2020-21,2.2919763124882166
Nathan Knight,PF,23,ATL,33,0,8.5,1.1,3.0,0.37,0.2,1.0,0.182,0.9,2.0,0.463,0.4,1.3,1.7,0.8,0.8,1.4,2.2,0.2,0.3,0.3,0.5,0.7,3.8,2020-21,-2.6807609415956257
Skylar Mays,SG,23,ATL,33,0,8.2,1.3,3.0,0.449,0.4,1.2,0.35,0.9,1.8,0.517,0.52,0.7,0.8,0.88,0.3,0.8,1.1,0.9,0.4,0.1,0.3,0.5,3.8,2020-21,-1.6527891298306323
Onyeka Okongwu,C,20,ATL,50,4,12.0,1.9,3.0,0.644,0.0,0.1,0.0,1.9,2.9,0.658,0.644,0.7,1.1,0.632,1.2,2.0,3.3,0.4,0.5,0.7,0.6,2.0,4.6,2020-21,-2.1794628813384573
Cam Reddish,SF,21,ATL,26,21,28.8,3.7,10.1,0.365,1.3,4.8,0.262,2.4,5.3,0.46,0.428,2.6,3.2,0.817,0.8,3.2,4.0,1.3,1.3,0.3,1.3,2.6,11.2,2020-21,1.9636015931753916
Tony Snell,SG,29,ATL,47,23,21.1,1.9,3.6,0.515,1.3,2.3,0.569,0.6,1.3,0.419,0.696,0.2,0.2,1.0,0.4,2.0,2.4,1.3,0.3,0.2,0.4,1.6,5.3,2020-21,0.28434123270952694
Trae Young,PG,22,ATL,63,63,33.7,7.7,17.7,0.438,2.2,6.3,0.343,5.6,11.3,0.491,0.499,7.7,8.7,0.886,0.6,3.3,3.9,9.4,0.8,0.2,4.1,1.8,25.3,2020-21,4.894834758742929
Bruce Brown,PG,24,BRK,65,37,22.3,3.6,6.5,0.556,0.3,0.9,0.288,3.4,5.6,0.599,0.576,1.3,1.8,0.735,1.7,3.7,5.4,1.6,0.9,0.4,0.8,2.2,8.8,2020-21,0.037965398044433996
Chris Chiozza,PG,25,BRK,22,1,10.5,1.4,4.0,0.352,0.6,1.9,0.31,0.8,2.1,0.391,0.426,0.6,0.8,0.765,0.1,1.0,1.1,3.0,0.3,0.3,0.7,0.9,4.0,2020-21,-1.1334684096212142
Nicolas Claxton,C,21,BRK,32,1,18.6,2.8,4.5,0.621,0.0,0.2,0.2,2.8,4.4,0.636,0.624,1.0,2.0,0.484,1.3,3.8,5.2,0.9,0.7,1.3,0.6,2.1,6.6,2020-21,-0.3946342208475706
Spencer Dinwiddie,SG,27,BRK,3,3,21.3,2.0,5.3,0.375,0.7,2.3,0.286,1.3,3.0,0.444,0.438,2.0,2.0,1.0,0.0,4.3,4.3,3.0,0.7,0.3,1.7,1.3,6.7,2020-21,0.43830599525463265
Kevin Durant,PF,32,BRK,35,32,33.1,9.3,17.2,0.537,2.4,5.4,0.45,6.8,11.8,0.577,0.608,6.0,6.8,0.882,0.4,6.7,7.1,5.6,0.7,1.3,3.4,2.0,26.9,2020-21,6.592604582479089
Jeff Green,C,34,BRK,68,38,27.0,3.8,7.8,0.492,1.5,3.7,0.412,2.3,4.1,0.564,0.59,1.8,2.4,0.776,0.5,3.4,3.9,1.6,0.5,0.4,0.8,1.8,11.0,2020-21,0.8915028869868492
Joe Harris,SF,29,BRK,69,65,31.0,5.2,10.2,0.505,3.1,6.4,0.475,2.1,3.8,0.555,0.654,0.7,0.9,0.778,0.6,3.0,3.6,1.9,0.7,0.2,0.9,2.0,14.1,2020-21,3.2198606577474185
Kyrie Irving,PG,28,BRK,54,54,34.9,10.2,20.1,0.506,2.8,7.0,0.402,7.4,13.1,0.561,0.576,3.7,4.0,0.922,1.0,3.8,4.8,6.0,1.4,0.7,2.4,2.6,26.9,2020-21,9.015223073524322
Mike James,PG,30,BRK,13,1,18.2,2.6,7.1,0.37,0.8,2.4,0.355,1.8,4.7,0.377,0.429,1.6,2.1,0.778,0.2,2.2,2.5,4.2,0.5,0.1,1.5,0.8,7.7,2020-21,-0.5774810881061004
Alize Johnson,PF,24,BRK,18,0,10.5,2.2,3.8,0.588,0.1,0.3,0.167,2.2,3.4,0.629,0.596,0.7,0.7,1.0,1.5,3.5,5.0,0.8,0.3,0.3,0.5,0.9,5.2,2020-21,-1.2064766011307437
Tyler Johnson,SG,28,BRK,39,3,17.5,1.8,4.7,0.393,1.2,3.4,0.364,0.6,1.3,0.471,0.525,0.5,0.5,0.857,0.2,1.8,2.0,1.2,0.4,0.0,0.4,1.1,5.4,2020-21,-0.8449699241841936
DeAndre Jordan,C,32,BRK,57,43,21.9,3.3,4.4,0.763,0.0,0.0,0.0,3.3,4.4,0.766,0.763,0.8,1.6,0.5,2.1,5.4,7.5,1.6,0.3,1.1,1.5,2.0,7.5,2020-21,-2.4137323739868473
